property_title,location,number_of_rooms,price,size,property_type,property_type_encoded,location_clean,location_encoded,number_of_rooms_clean,price_clean
2-bedroom apartment,Al Ansab,2,OMR300,128.5663047808765,apartment,0,al ansab,2,2.0,300.0
2-bedroom apartment,Shatti Al Qurum,2,OMR500,128.5663047808765,apartment,0,shatti al qurum,68,2.0,500.0
4+1 bedroom twin villa,Madinat Qaboos (MQ),4,"OMR1,500",142.29293422404933,room,9,madinat qaboos,43,4.0,1500.0
commercial shop,Ghala,39,OMR370,79.62848484848485,shop,11,ghala,34,6.0,370.0
commercial office space,Bausher,2,OMR4,128.6710243902439,commercial,2,bosher,32,2.0,4.0
"2, 3 & 4-bedroom compound villas",Rusayl,"2,3,4",OMR650,142.29293422404933,room,9,rusayl,60,2.0309110629067244,650.0
commercial space,Shatti Al Qurum,,OMR6,128.6710243902439,commercial,2,shatti al qurum,68,1.7682119205298013,6.0
6+1 bedroom twin villa,Bausher,6,"OMR1,000",142.29293422404933,room,9,bosher,32,6.0,1000.0
5+1 bedroom twin villa,Al Ansab,5,OMR750,142.29293422404933,room,9,al ansab,2,5.0,750.0
retail spaces,Al Khuwair,,OMR7,128.6710243902439,commercial,2,al khuwair,13,1.7682119205298013,7.0
commercial space,Azaiba,OUTSIDE,"OMR2,200",128.6710243902439,commercial,2,azaiba,26,1.7682119205298013,2200.0
2-bedroom apartment,Maabelah,2,OMR180,128.5663047808765,apartment,0,al maabilah,14,2.0,180.0
3-bedroom apartment,Al Khuwair,3,OMR280,128.5663047808765,apartment,0,al khuwair,13,3.0,280.0
1 & 2-bedroom apartment,Al Ghoubrah,1,OMR250,128.5663047808765,apartment,0,al ghubrah,7,1.0,250.0
4-bedroom twin villa,Madinat Qaboos (MQ),4,OMR800,142.29293422404933,room,9,madinat qaboos,43,4.0,800.0
3-bedroom apartment,Darsait,3,OMR400,128.5663047808765,apartment,0,darsait,33,3.0,400.0
2+1 bedroom apartment,Al Ghoubrah,2,OMR550,128.5663047808765,apartment,0,al ghubrah,7,2.0,550.0
5-bedroom twin villa,Madinat Qaboos (MQ),5,"OMR1,800",142.29293422404933,room,9,madinat qaboos,43,5.0,1800.0
7-bedroom twin villa,Al Mawaleh,7,OMR675,142.29293422404933,room,9,al mawaleh,15,6.0,675.0
5-bedroom compound villa,Madinat Al llam,5,OMR900,142.29293422404933,room,9,madinat al illam,42,5.0,900.0
office space,Muscat Hills,51.63,OMR6,128.6710243902439,commercial,2,muscat hills,52,6.0,6.0
3-bedroom townhouse,The Wave Muscat,3,"OMR1,100",142.29293422404933,room,9,the wave,76,3.0,1100.0
5-bedroom detached villa,Muscat Hills,5,"OMR2,500",142.29293422404933,room,9,muscat hills,52,5.0,2500.0
5-bedroom twin villa,Al Ansab,5,OMR700,142.29293422404933,room,9,al ansab,2,5.0,700.0
2-bedroom apartment,Al Ghoubrah,2,OMR600,128.5663047808765,apartment,0,al ghubrah,7,2.0,600.0
2-bedroom apartment,Muscat Hills,2,OMR450,128.5663047808765,apartment,0,muscat hills,52,2.0,450.0
2-bedroom apartment,Al Mawaleh,2,OMR275,128.5663047808765,apartment,0,al mawaleh,15,2.0,275.0
4-bedroom twin villa,Al Mawaleh,4,OMR560,142.29293422404933,room,9,al mawaleh,15,4.0,560.0
3-bedroom twin villa,Al Mawaleh,3,OMR560,142.29293422404933,room,9,al mawaleh,15,3.0,560.0
1-bedroom apartment,Muscat Hills,1,OMR375,128.5663047808765,apartment,0,muscat hills,52,1.0,375.0
6+2 bedroom standalone villa,Qurum,6,"OMR1,300",142.29293422404933,room,9,qurum,58,6.0,1300.0
6-bedroom apartment,Al Khuwair,6,OMR550,128.5663047808765,apartment,0,al khuwair,13,6.0,550.0
4+1 bedroom compound villa,Shatti Al Qurum,4,OMR700,142.29293422404933,room,9,shatti al qurum,68,4.0,700.0
4+1 twin villa,Shatti Al Qurum,4,"OMR1,000",355.98643304130167,villa,13,shatti al qurum,68,4.0,1000.0
4-bedroom townhouse,Al Hail,4,OMR450,142.29293422404933,room,9,al hail,8,4.0,450.0
3+1 townhouse,Maabelah,4,OMR600,355.98643304130167,villa,13,al maabilah,14,4.0,600.0
2-bedroom townhouse,Al Ansab,200,OMR650,142.29293422404933,room,9,al ansab,2,6.0,650.0
2-bedroom apartment,Al Ansab,2,OMR400,128.5663047808765,apartment,0,al ansab,2,2.0,400.0
6-bedroom twin villa,Shatti Al Qurum,6,OMR700,142.29293422404933,room,9,shatti al qurum,68,6.0,700.0
6 bedroom detached villa,Madinat Al llam,6,OMR850,142.29293422404933,room,9,madinat al illam,42,6.0,850.0
4 bedroom twin-villa,Al Mawaleh,4,OMR700,142.29293422404933,room,9,al mawaleh,15,4.0,700.0
office space,Bausher,55,OMR400,128.6710243902439,commercial,2,bosher,32,6.0,400.0
2 + 1 fully furnished apartment,Qurum,2,OMR500,128.5663047808765,apartment,0,qurum,58,2.0,500.0
5 bedroom townhouse,Qurum,5,OMR850,142.29293422404933,room,9,qurum,58,5.0,850.0
5 bedroom townhouse,Qurum,5,OMR950,142.29293422404933,room,9,qurum,58,5.0,950.0
2 bedroom apartment,Shatti Al Qurum,2,OMR450,128.5663047808765,apartment,0,shatti al qurum,68,2.0,450.0
3 bedroom apartment,Azaiba,3,OMR330,128.5663047808765,apartment,0,azaiba,26,3.0,330.0
1 & 2 bedroom apartment,Azaiba,2,OMR280,128.5663047808765,apartment,0,azaiba,26,2.0,280.0
3bedroom furnished twin villa in (al khoud),Al Khoudh,3,OMR400,142.29293422404933,room,9,al khoud,12,3.0,400.0
commercial office space in (bausher),Bausher,415,"OMR1,600",128.6710243902439,commercial,2,bosher,32,6.0,1600.0
3 bedroom apartment in (darsit),Darsait,3,OMR450,128.5663047808765,apartment,0,darsait,33,3.0,450.0
2 bedroom apartment in (darsit),Darsait,2,OMR400,128.5663047808765,apartment,0,darsait,33,2.0,400.0
3+1 bedroom townhouse in (madinat sultan qaboos),Madinat Qaboos (MQ),3,OMR650,142.29293422404933,room,9,madinat qaboos,43,3.0,650.0
furnished 2 bedroom apartment in ( muscat hills),Muscat Hills,2,OMR475,128.5663047808765,apartment,0,muscat hills,52,2.0,475.0
3 bedroom apartment in (al khuwair),Al Khuwair,3,OMR360,128.5663047808765,apartment,0,al khuwair,13,3.0,360.0
2 bedroom apartment in ( madinat sultan qaboos),Madinat Qaboos (MQ),2,OMR300,128.5663047808765,apartment,0,madinat qaboos,43,2.0,300.0
3 bedroom towmhouse in (madinat al ilam),Madinat Al llam,3,OMR550,142.29293422404933,room,9,madinat al illam,42,3.0,550.0
3 bedroom towmhouse in (madinat al ilam),Madinat Al llam,3,OMR450,142.29293422404933,room,9,madinat al illam,42,3.0,450.0
3 bedroom townhouse,Qurum,3,OMR650,142.29293422404933,room,9,qurum,58,3.0,650.0
5+1 bedroom villa in ( qurum),Qurum,5,"OMR2,500",142.29293422404933,room,9,qurum,58,5.0,2500.0
3+1 bedroom villa in ( shatti qurum),Shatti Al Qurum,3,"OMR2,500",142.29293422404933,room,9,shatti al qurum,68,3.0,2500.0
3+1 bedroom townhouse in (qurum),Qurum,3,"OMR1,000",142.29293422404933,room,9,qurum,58,3.0,1000.0
2 spacious showroom in ( maabellah),Maabelah,2,"OMR3,000",142.29293422404933,room,9,al maabilah,14,2.0,3000.0
5 bedroom twin villa,Azaiba,5,OMR700,142.29293422404933,room,9,azaiba,26,5.0,700.0
commercial space for rent in (ruwi),Ruwi,,"OMR11,000",128.6710243902439,commercial,2,ruwi,61,1.7682119205298013,11000.0
4+1  bedroom twin-villa,Maabelah,5,OMR450,142.29293422404933,room,9,al maabilah,14,5.0,450.0
4+1 bedroom twin-villa in ( qurum),Qurum,4,"OMR1,350",142.29293422404933,room,9,qurum,58,4.0,1350.0
2 bedroom penthouse  in ( muscat hills),Muscat Hills,2,OMR650,142.29293422404933,room,9,muscat hills,52,2.0,650.0
2 bedroom penthouse furnished in ( muscat hills),Muscat Hills,2,OMR750,142.29293422404933,room,9,muscat hills,52,2.0,750.0
2 bedroom penthouse furnished in ( muscat hills),Muscat Hills,2,OMR750,142.29293422404933,room,9,muscat hills,52,2.0,750.0
furnished 2 bedroom apartment in ( muscat hills),Muscat Hills,2,OMR450,128.5663047808765,apartment,0,muscat hills,52,2.0,450.0
2 bedroom apartment in (qurum),Qurum,2,OMR350,128.5663047808765,apartment,0,qurum,58,2.0,350.0
5 bedroom townhouse,Madinat Qaboos (MQ),5,"OMR1,100",142.29293422404933,room,9,madinat qaboos,43,5.0,1100.0
fully furnished studio apartment in (salalah),Salalah,1,OMR400,128.5663047808765,apartment,0,salalah,65,1.0,400.0
furnished 4+1 bedroom townhouse in ( muscat bay),MUSCAT BAY,4,"OMR1,400",142.29293422404933,room,9,muscat bay,51,4.0,1400.0
4+1 townhouse in (madinat al sultan qaboos),Madinat Qaboos (MQ),4,OMR850,355.98643304130167,villa,13,madinat qaboos,43,4.0,850.0
2 bedroom apartment in (al khuwair),Al Khuwair,2,OMR260,128.5663047808765,apartment,0,al khuwair,13,2.0,260.0
commercial office space in (alkhuwair),Al Khuwair,84,OMR315,128.6710243902439,commercial,2,al khuwair,13,6.0,315.0
commercial office space in (alkhuwair),Al Khuwair,143,OMR515,128.6710243902439,commercial,2,al khuwair,13,6.0,515.0
2 bedroom apartment in (ghubra),Al Ghoubrah,2,OMR210,128.5663047808765,apartment,0,al ghubrah,7,2.0,210.0
commercial space in (shatti al qurum),Shatti Al Qurum,1400,"OMR11,900",128.6710243902439,commercial,2,shatti al qurum,68,6.0,11900.0
pearl building commercial space,Muscat Hills,97,"OMR1,200",128.6710243902439,commercial,2,muscat hills,52,6.0,1200.0
7+1 bedroom commercial villa in ( madinat sultan qaboos),Madinat Qaboos (MQ),7,"OMR1,800",142.29293422404933,room,9,madinat qaboos,43,6.0,1800.0
6+2 bhk commercial villa in (azaiba),Azaiba,6,"OMR3,000",355.98643304130167,villa,13,azaiba,26,6.0,3000.0
6+1 bedroom townhouse in (qurum),Qurum,6,"OMR1,800",142.29293422404933,room,9,qurum,58,6.0,1800.0
4+1 bedroom townhouse in (qurum),Qurum,4,"OMR1,200",142.29293422404933,room,9,qurum,58,4.0,1200.0
5+1 bedroom townhouse in ( qurum),Qurum,5,"OMR1,750",142.29293422404933,room,9,qurum,58,5.0,1750.0
5+1  bedroom townhouse in (qurum),Qurum,5,"OMR1,500",142.29293422404933,room,9,qurum,58,5.0,1500.0
2 bhk fully furnished duplex apartment in ( al mouj),Al Mouj,2,"OMR2,300",128.5663047808765,apartment,0,al mouj,17,2.0,2300.0
2-bedroom apartment,Al Mawaleh,2,OMR250,128.5663047808765,apartment,0,al mawaleh,15,2.0,250.0
1-bedroom apartment,Al Mawaleh,1,OMR220,128.5663047808765,apartment,0,al mawaleh,15,1.0,220.0
5+1 bedroom villa in (al ansab),Al Ansab,5,OMR750,142.29293422404933,room,9,al ansab,2,5.0,750.0
furnished 5 bedroom twin villa,Al Ansab,5,OMR850,142.29293422404933,room,9,al ansab,2,5.0,850.0
4 + 1 bedroom detached villa,Al Ghoubrah,5,OMR900,142.29293422404933,room,9,al ghubrah,7,5.0,900.0
7+1 bedroom furnished  villa in ( al khuwair),Al Khuwair,7,OMR950,142.29293422404933,room,9,al khuwair,13,6.0,950.0
3 bedroom townhouse,Qurum,4,OMR750,142.29293422404933,room,9,qurum,58,4.0,750.0
5+3 bedroom villa in (madinat sultan qaboos),Madinat Qaboos (MQ),5,"OMR2,100",142.29293422404933,room,9,madinat qaboos,43,5.0,2100.0
"shop for rent in (ruwi, walja)",Ruwi,1,OMR400,79.62848484848485,shop,11,ruwi,61,1.0,400.0
2 bhk full furnished apartment in (qurum),Shatti Al Qurum,2,OMR450,128.5663047808765,apartment,0,shatti al qurum,68,2.0,450.0
office space in (ruwi),Ruwi,350,"OMR1,500",128.6710243902439,commercial,2,ruwi,61,6.0,1500.0
2 bedroom apartments in (ruwi),Ruwi,2,OMR225,128.5663047808765,apartment,0,ruwi,61,2.0,225.0
1 bedroom apartments in ruwi (walja),Ruwi,1,OMR150,128.5663047808765,apartment,0,ruwi,61,1.0,150.0
furnished 2 bedroom twin-villa in (mutrah),Mutrah,2,OMR380,142.29293422404933,room,9,mutrah,53,2.0,380.0
5000 sqm warehouse in (ghala),Ghala,5000,"OMR7,500",247.5,warehouse,14,ghala,34,6.0,7500.0
new commercial shops in (mabellah),Maabelah,47.5,OMR550,79.62848484848485,shop,11,al maabilah,14,6.0,550.0
4 bedroom twin villa in (shatti alqurum),Shatti Al Qurum,4,"OMR1,500",142.29293422404933,room,9,shatti al qurum,68,4.0,1500.0
2 bedroom apartment in (boushar),Bausher,120,OMR220,128.5663047808765,apartment,0,bosher,32,6.0,220.0
4 bedroom detached villa,Azaiba,4,OMR750,142.29293422404933,room,9,azaiba,26,4.0,750.0
commercial shops in (mabellah),Maabelah,350,OMR350,79.62848484848485,shop,11,al maabilah,14,6.0,350.0
8 bedroom twin villa,Al Khoudh,4,OMR600,142.29293422404933,room,9,al khoud,12,4.0,600.0
1 bedroom furnished penthouse in (alkhuwair),Al Khuwair,1,OMR320,142.29293422404933,room,9,al khuwair,13,1.0,320.0
5 + 1 bedroom twin villa in (alkhoudh),Al Khoudh,5,OMR500,142.29293422404933,room,9,al khoud,12,5.0,500.0
6 bedroom detached villa,Al Awabi,6,OMR600,142.29293422404933,room,9,al awabi,3,6.0,600.0
commercial spaces,Seeb,32,OMR135,128.6710243902439,commercial,2,seeb,66,6.0,135.0
4 bedroom twin villa,Madinat Qaboos (MQ),4,OMR680,142.29293422404933,room,9,madinat qaboos,43,4.0,680.0
new furnished 1 bedroom apartment in (muscat bay),MUSCAT BAY,1,OMR500,128.5663047808765,apartment,0,muscat bay,51,1.0,500.0
3+1 bedroom townhouse in (qurum),Qurum,4,OMR550,142.29293422404933,room,9,qurum,58,4.0,550.0
4 bedroom townhouse in (alseeb),Seeb,4,OMR550,142.29293422404933,room,9,seeb,66,4.0,550.0
6 bedroom twin-villa in (shatti al qurum),Shatti Al Qurum,6,"OMR1,000",142.29293422404933,room,9,shatti al qurum,68,6.0,1000.0
5 + 1 bedroom villa in (shatti al qurum),Shatti Al Qurum,5,OMR750,142.29293422404933,room,9,shatti al qurum,68,5.0,750.0
2 bedroom apartment in,Al Hail,2,OMR180,128.5663047808765,apartment,0,al hail,8,2.0,180.0
2 bedroom apartment (shatti al qurum),Muscat,2,OMR550,130.0,apartment,0,muscat,50,2.0,550.0
2 bedroom apartment in (al mawalleh),Al Mawaleh,2,OMR200,85.0,apartment,0,al mawaleh,15,2.0,200.0
2 bedroom apartment in (ghala),Ghala,2,OMR210,128.5663047808765,apartment,0,ghala,34,2.0,210.0
3 bedroom twin-villa in (bosher),Bausher,3,OMR600,300.0,room,9,bosher,32,3.0,600.0
office space,Ghala,+-155.3,OMR-550,128.6710243902439,commercial,2,ghala,34,1.7682119205298013,-550.0
commercial showroom,Bausher,OUTSIDE,"OMR3,000",142.29293422404933,room,9,bosher,32,2.0309110629067244,3000.0
3+1 standalone villa,Madinat Qaboos (MQ),3,OMR750,355.98643304130167,villa,13,madinat qaboos,43,3.0,750.0
2+1 bedroom apartment,Al Mouj,2,OMR700,128.5663047808765,apartment,0,al mouj,17,2.0,700.0
office space,Al Khuwair,,OMR350,128.6710243902439,commercial,2,al khuwair,13,1.7682119205298013,350.0
1-bedroom apartment,Azaiba,1,"OMR33,000",128.5663047808765,apartment,0,azaiba,26,1.0,33000.0
